generator_id,level_id,width,height,solid_density,empty_density,enemy_count,enemy_density,reward_count,reward_density,block_density,pipe_density,gap_count,gap_density,max_gap_width,linearity_r2,nonlinearity,surface_resid_std,surface_std,leniency,tile_entropy,column_entropy,unique_column_ratio,compression_ratio,within_ncd,distance_to_original_ncd,ncd_pairs,distance_to_original_centroid
genetic,genetic::lvl-18.txt,200,16,0.116875,0.8803125,8,0.04,2,0.01,0.015,0.835,2,0.04,5,0.05401724412421771,0.9459827558757823,1.3825577866670042,1.4140601020544432,0.7284376811594204,0.7740146745103376,2.4473465445046827,0.12,0.060964230171073094,0.7701907323717319,0.8421229530135014,1770,3.955301629322325
genetic,genetic::lvl-19.txt,200,16,0.131875,0.8665625,4,0.02,5,0.025,0.03,1.04,6,0.11,6,0.03471835627181008,0.9652816437281899,1.3282583911350985,1.3443175773488552,0.6382808176100628,0.8273693417166654,3.2119939940345965,0.12,0.0656298600311042,0.7701907323717319,0.8421229530135014,1770,3.3280281566674534
genetic,genetic::lvl-2.txt,200,16,0.1203125,0.876875,8,0.04,1,0.005,0.005,0.93,6,0.09,5,0.027903014170677864,0.9720969858293221,1.1880153085894105,1.1983061748505437,0.666301827242525,0.7638914440756038,2.7910135691067812,0.1,0.061275272161741834,0.7701907323717319,0.8421229530135014,1770,3.831891861457535
genetic,genetic::lvl-20.txt,200,16,0.1484375,0.8490625,7,0.035,1,0.005,0.02,1.02,3,0.05,4,0.014186809840981973,0.985813190159018,1.6344871445380724,1.6375188988357727,0.7422055041628122,0.9251128980652501,3.0464601433211613,0.135,0.06376360808709176,0.7701907323717319,0.8421229530135014,1770,2.9888186814224227
genetic,genetic::lvl-21.txt,200,16,0.1496875,0.846875,10,0.05,3,0.015,0.04,1.05,1,0.02,4,0.037139201203006844,0.9628607987969932,1.8170334423363856,1.8422730417701803,0.7827490291262136,0.9365577494456763,2.756975416357859,0.13,0.06158631415241057,0.7701907323717319,0.8421229530135014,1770,2.9706046727009228
genetic,genetic::lvl-22.txt,200,16,0.1653125,0.83125,10,0.05,0,0.0,0.005,1.265,4,0.075,4,0.1465827688442265,0.8534172311557735,1.8681268563890283,2.0112466833607057,0.7018543859649122,0.9951998064091973,3.3990314848730416,0.14,0.06376360808709176,0.7701907323717319,0.8421229530135014,1770,5.960101082471312
genetic,genetic::lvl-23.txt,200,16,0.0990625,0.8978125,9,0.045,0,0.0,0.0,0.655,4,0.07,6,0.013077340061468434,0.9869226599385316,1.2094956962212895,1.2109193147245763,0.6628003314001657,0.6697679096730699,1.9394567719636617,0.065,0.04758942457231726,0.7701907323717319,0.8421229530135014,1770,4.692774501256322
genetic,genetic::lvl-24.txt,200,16,0.1559375,0.8425,4,0.02,2,0.01,0.025,1.265,2,0.04,5,0.005172965559974929,0.9948270344400251,1.6278847292295304,1.623588796954827,0.7366007326007326,0.9384202934333657,2.964611451815198,0.125,0.06625194401244168,0.7701907323717319,0.8421229530135014,1770,3.089765702052429
genetic,genetic::lvl-25.txt,200,16,0.108125,0.889375,7,0.035,0,0.0,0.0,0.615,2,0.04,6,0.004744383656153706,0.9952556163438463,1.303718796390119,1.2999983306613214,0.7011393514461,0.6987243308738627,2.1743873303758505,0.09,0.049144634525660966,0.7701907323717319,0.8421229530135014,1770,4.469060877398555
genetic,genetic::lvl-26.txt,200,16,0.1146875,0.883125,6,0.03,1,0.005,0.015,0.695,2,0.05,6,0.08336860246912603,0.916631397530874,1.2781322976685003,1.3279464704026467,0.692896286701209,0.742868501434576,2.3923365864931316,0.105,0.05412130637636081,0.7701907323717319,0.8421229530135014,1770,4.864904578903774
genetic,genetic::lvl-27.txt,200,16,0.09625,0.90125,7,0.035,6,0.03,0.05,0.34,1,0.01,2,0.0032166846822829775,0.996783315317717,1.0367325269450758,1.033146205792093,0.8801210640608034,0.6694747956752611,2.330877908760967,0.13,0.053810264385692065,0.7701907323717319,0.8421229530135014,1770,4.779183854467625
genetic,genetic::lvl-28.txt,200,16,0.116875,0.8809375,6,0.03,6,0.03,0.04,0.73,3,0.075,6,0.3321917482399973,0.6678082517600027,1.0872136069871596,1.3232096798428443,0.6735516556291391,0.7649813959831088,2.9443336487711766,0.12,0.05598755832037325,0.7701907323717319,0.8421229530135014,1770,13.825545304404823
genetic,genetic::lvl-29.txt,200,16,0.1228125,0.87625,2,0.01,5,0.025,0.06,0.765,2,0.045,5,0.02490243788595503,0.975097562114045,1.2670025466713721,1.2763437937693916,0.7398770072992701,0.7921318024512503,2.7828837431283637,0.115,0.056920684292379474,0.7701907323717319,0.8421229530135014,1770,3.880528197242979
genetic,genetic::lvl-3.txt,200,16,0.125625,0.8721875,6,0.03,1,0.005,0.01,0.875,2,0.03,3,0.01413936320227649,0.9858606367977235,1.5808078453903995,1.5838756009986499,0.8035532064128256,0.7981353948594212,2.3947667247053768,0.11,0.05536547433903577,0.7701907323717319,0.8421229530135014,1770,3.832993825702788
genetic,genetic::lvl-30.txt,200,16,0.150625,0.8465625,8,0.04,1,0.005,0.025,1.155,4,0.085,6,0.027148064882902667,0.9728519351170973,1.7656151108160916,1.7802721832777708,0.6505482171799027,0.9236234066113507,3.0608040386921234,0.16,0.06345256609642301,0.7701907323717319,0.8421229530135014,1770,2.618382774696835
genetic,genetic::lvl-31.txt,200,16,0.1371875,0.8621875,1,0.005,2,0.01,0.035,0.9,2,0.055,6,0.008148825375864921,0.9918511746241351,1.6188197171354946,1.6168328732662711,0.6980421509106678,0.8737957956836914,3.18284516474678,0.13,0.0640746500777605,0.7701907323717319,0.8421229530135014,1770,3.3597874789737934
genetic,genetic::lvl-32.txt,200,16,0.134375,0.8628125,8,0.04,5,0.025,0.05,0.84,2,0.03,4,0.05878858714076407,0.9412114128592359,1.5944803164824843,1.6350284706058744,0.7760335249042146,0.8614814896839068,2.84352386307188,0.125,0.05785381026438569,0.7701907323717319,0.8421229530135014,1770,3.6234054200284107
genetic,genetic::lvl-33.txt,200,16,0.126875,0.8703125,8,0.04,2,0.01,0.01,0.895,3,0.05,4,0.0030476069789894256,0.9969523930210106,1.3891003139010816,1.3838802888037722,0.7417073800738008,0.8134451174696197,2.6814803684408943,0.11,0.0594090202177294,0.7701907323717319,0.8421229530135014,1770,3.6586871573876447
genetic,genetic::lvl-34.txt,200,16,0.1190625,0.879375,4,0.02,8,0.04,0.05,0.735,5,0.08,4,0.0004530008503256244,0.9995469991496744,1.401680847937675,1.3943580618108327,0.721713780918728,0.7857040816069017,3.0025665538115813,0.115,0.06189735614307931,0.7701907323717319,0.8421229530135014,1770,3.631806403723081
genetic,genetic::lvl-35.txt,200,16,0.13625,0.8609375,8,0.04,2,0.01,0.03,1.09,4,0.07,4,0.0007808287321857676,0.9992191712678142,1.5492518971581328,1.54150201612537,0.7158437722419929,0.8717609138506254,3.068416912649483,0.13,0.06283048211508553,0.7701907323717319,0.8421229530135014,1770,3.1948172773369707
