generator_id,levels,linearity_r2_mean,linearity_r2_std,leniency_mean,leniency_std,solid_density_mean,enemy_density_mean,reward_density_mean,gap_density_mean,max_gap_width_mean,tile_entropy_mean,unique_column_ratio_mean,compression_ratio_mean,within_ncd,distance_to_original_ncd,distance_to_original_centroid_mean
genetic,100,0.03255572127705717,0.04930717180215198,0.7315971769718489,0.08028850532661569,0.1312125,0.03325,0.013800000000000002,0.054900000000000004,4.6,0.8312270820348275,0.12145,0.05947433903576983,0.7701907323717319,0.8421229530135014,3.907027707694003
hopper,100,0.16567180005687837,0.1826213452895451,0.6322549398706048,0.029320570671396116,0.172353125,0.11765,0.011300000000000001,0.10625,4.86,0.9755025822259462,0.13475,0.06217729393468118,0.7304660023307683,0.8338532133606136,7.968138103273919
marioDiffusion,100,0.04722883148713473,0.06129783675796469,0.4408526457454762,0.1577762322926317,0.12302884615384616,0.020144230769230772,0.014615384615384617,0.27639423076923075,18.65,0.59924724556,0.10451923076923077,0.05611127729584206,0.7815446620969468,0.8526016465006739,5.210023452698753
mariodpo,200,0.05573387632143314,0.09762418726715687,0.6680517750579503,0.052208336718685834,0.15544554440570563,0.0875226542872659,0.04992451572526639,0.13964781111666955,2.845,0.9459689251884166,0.25270872355463203,0.08638796033230733,0.8059367071227344,0.8425926698779345,3.5272643687278156
mariogan,100,0.03710140269565932,0.05126351879382997,0.6217088362666514,0.1736841246285843,0.11490646258503402,0.06654761904761904,0.008511904761904762,0.10172619047619047,9.15,0.6950846587160978,0.16464285714285715,0.07683720930232558,0.7306290283774906,0.851949864333206,3.9966027831517636
mariogpt,100,0.10406090792014792,0.13364541048427342,0.5544352311751087,0.1686656505787803,0.14483809523809524,0.064,0.09373333333333334,0.21533333333333335,13.29,0.8310031835499068,0.23693333333333336,0.08952673923331755,0.7624339739920093,0.8538973407606367,6.142761084021299
notch,100,0.12009803695008658,0.1284604390795437,0.7042581651982333,0.024304671290431616,0.1550125,0.021400000000000002,0.0046500000000000005,0.10385,3.0,0.873946441840709,0.09655,0.05975116640746501,0.7540803892979902,0.839509998038342,6.405613047215634
notchParam,100,0.05079626312975934,0.05297280879268421,0.7068783481188525,0.07890715267195979,0.0870625,0.0219,0.00065,0.07385,4.64,0.5869349271815589,0.057999999999999996,0.04262208398133748,0.6993856014860634,0.8503967018607245,5.969246043126345
notchParamRand,100,0.13707752095088532,0.11222859621081704,0.7415697087935916,0.11366854827260973,0.091590625,0.024550000000000002,0.0022,0.07445,3.57,0.6273080053360465,0.0653,0.04376360808709176,0.7266689974220728,0.8521514203752114,8.063649078101196
ore,100,0.10907948184140626,0.1186756662038098,0.6299924793451619,0.040679360426843836,0.3351625,0.059000000000000004,0.02765,0.15595,3.95,1.460861379009195,0.37329999999999997,0.11939657853810264,0.8510858936455925,0.8943959422883506,7.908073818004168
original,15,0.020161431804917702,0.023409715223635455,0.6128281912455803,0.15666711196395747,0.17869037883510802,0.08008180244055378,0.09689344494206761,0.18137755436208636,8.333333333333334,1.031398045655331,0.22995951749557159,0.08183532357130886,0.8292159416501925,0.7835430370197274,2.9483346650392885
patternCount,100,0.1493295438514622,0.15521223578222365,0.7153884126273421,0.12083734420062633,0.17938125,0.24805,0.0,0.0547,2.98,1.1414773837900638,0.0916,0.08208087091757386,0.8274689631607893,0.8646076232528376,8.577629213367139
patternOccur,100,0.051602949224968685,0.07122551215384251,0.6980068946004523,0.0904594604077,0.200346875,0.168,0.0,0.07915,3.16,1.2571530670273636,0.09985000000000001,0.11046034214618974,0.8727848867473499,0.9060962683057755,4.822688086631386
patternWeightCount,100,0.07271781746925336,0.08251404182277775,0.7236394945205857,0.07745565039430016,0.201946875,0.12515,0.0,0.0809,2.27,1.2384273971637938,0.0995,0.10535303265940903,0.8654046962644686,0.8963787077596355,5.095020861785601
